Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
,May,Gallup,47.0,45.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,46.0,46.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,,,,,49.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,45.0,46.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,44.5,47.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,45.0,47.5,7.0,,54.0,31.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,45.0,47.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.0,Jan,Gallup,45.5,46.5,7.0,,50.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,45.0,44.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,45.5,47.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,46.5,45.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,46.0,45.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,46.5,46.0,7.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
